Name,Team,Position,Week,Opponent,Salary,Snap%,TmSnaps,OppSnap,Proj Snaps,FPts/Snap,ProjPts,Proj Value
Joe Burrow,CIN,QB,1,PIT,6400,100,61.62304348,65.54693878,63.58499113,0.312,23.67027482,3.698480441
Kirk Cousins,MIN,QB,1,GB,6100,100,63.70588235,63.12888889,63.41738562,0.276,20.26537464,3.322192565
Trey Lance,SF,QB,1,CHI,6000,100,61.48618267,63.25562701,62.37090484,0.365,27.15211433,4.525352389
Derek Carr,LV,QB,1,LAC,5900,100,63.64705882,66.39493671,65.02099777,0.228,21.31475865,3.612670957
Ryan Tannehill,TEN,QB,1,NYG,5700,100,66.51980907,61.86046512,64.19013709,0.23,17.96650069,3.152017664
Tua Tagovailoa,MIA,QB,1,NE,5700,100,64.66187683,61.93593074,63.29890378,0.233,21.13746129,3.708326542
Justin Fields,CHI,QB,1,SF,5600,100,63.25562701,61.48618267,62.37090484,0.2,14.02586607,2.504618941
Trevor Lawrence,JAX,QB,1,WAS,5600,100,60.54229249,62.92238806,61.73234027,0.185,20.14482806,3.597290725
Matt Ryan,IND,QB,1,HOU,5500,100,61.81374723,59.51785714,60.66580219,0.218,17.81953619,3.239915671
Carson Wentz,WAS,QB,1,JAX,5500,100,62.92238806,60.54229249,61.73234027,0.236,22.43752344,4.079549717
Mac Jones,NE,QB,1,MIA,5400,100,61.93593074,64.66187683,63.29890378,0.211,12.59985121,2.33330578
Jared Goff,DET,QB,1,PHI,5400,100,62.06030769,63.19256757,62.62643763,0.212,18.54189312,3.433683911
Sam Darnold,CAR,QB,1,CLE,5300,0,65.12302632,61.91117479,0,0.204,0,0
Andy Dalton,NO,QB,1,ATL,5300,36.7,61.78956044,59.13865815,22.19032811,0.204,6.349676715,1.19805221
Davis Mills,HOU,QB,1,IND,5300,100,59.51785714,61.81374723,60.66580219,0.211,17.77826405,3.354389444
Baker Mayfield,CAR,QB,1,CLE,5300,100,65.12302632,61.91117479,63.51710055,0.206,18.1164805,3.418203868
Jameis Winston,NO,QB,1,ATL,5300,100,61.78956044,59.13865815,60.46410929,0.316,26.80047339,5.056693093
Jimmy Garoppolo,SF,QB,1,CHI,5200,0,61.48618267,63.25562701,0,0.249,0,0
Colt McCoy,ARI,QB,1,KC,5200,17.8,66.20579065,66.6225,11.82171787,0.198,3.015049081,0.5798171311
Jacoby Brissett,CLE,QB,1,CAR,5200,100,61.91117479,65.12302632,63.51710055,0.192,13.98938803,2.690266929
Zach Wilson,NYJ,QB,1,BAL,5100,0,60.82322581,69.81395349,0,0.205,0,0
Teddy Bridgewater,MIA,QB,1,NE,5000,0,64.66187683,61.93593074,0,0.24,0,0
Tyler Huntley,BAL,QB,1,NYJ,5000,30,69.81395349,60.82322581,19.59557689,0.222,6.618032345,1.323606469
Daniel Jones,NYG,QB,1,TEN,5000,100,61.86046512,66.51980907,64.19013709,0.247,24.67343079,4.934686159
Gardner Minshew,PHI,QB,1,DET,4900,14.8,63.19256757,62.06030769,9.268712769,0.203,2.574048858,0.5253160935
Jordan Love,GB,QB,1,MIN,4700,11.7,63.12888889,63.70588235,7.419834118,0.161,1.495791112,0.3182534282
Tyrod Taylor,NYG,QB,1,TEN,4500,0,61.86046512,66.51980907,0,0.253,0,0
Mason Rudolph,PIT,QB,1,CIN,4500,8.3,65.54693878,61.62304348,5.277554264,0.189,1.189652016,0.2643671146
Taylor Heinicke,WAS,QB,1,JAX,4400,0,62.92238806,60.54229249,0,0.218,0,0
Tim Boyle,DET,QB,1,PHI,4200,37,62.06030769,63.19256757,23.17178192,0.135,4.368714912,1.040170217
Ian Book,NO,QB,1,ATL,4000,4.6,61.78956044,59.13865815,2.781349027,0.04,0.1560533894,0.03901334734
Sean Mannion,MIN,QB,1,GB,4000,4.5,63.70588235,63.12888889,2.853782353,0.254,0.8392508413,0.2098127103
PJ Walker,CAR,QB,1,CLE,4000,11,65.12302632,61.91117479,6.986881061,0.109,1.05444952,0.2636123801
Nick Foles,IND,QB,1,HOU,4000,6.6,61.81374723,59.51785714,4.003942944,0.227,1.224643537,0.3061608844
Nick Mullens,MIN,QB,1,GB,4000,16.9,63.70588235,63.12888889,10.71753817,0.176,2.183961244,0.5459903111
Mike White,NYJ,QB,1,BAL,4000,19,60.82322581,69.81395349,12.41053203,0.209,3.745679909,0.9364199773
Trevor Siemian,CHI,QB,1,SF,4000,32.9,63.25562701,61.48618267,20.52002769,0.251,5.79120997,1.447802492
Indianapolis Colts,IND,DST,1,HOU,4500,,,,,,9.2,2.044444444
San Francisco 49ers,SF,DST,1,CHI,4100,,,,,,9.8,2.390243902
Baltimore Ravens,BAL,DST,1,NYJ,4000,,,,,,8.5,2.125
Los Angeles Chargers,LAC,DST,1,LV,4000,,,,,,8.1,2.025
Cleveland Browns,CLE,DST,1,CAR,3800,,,,,,8.3,2.184210526
New Orleans Saints,NO,DST,1,ATL,3700,,,,,,9.5,2.567567568
Cincinnati Bengals,CIN,DST,1,PIT,3600,,,,,,9.1,2.527777778
Tennessee Titans,TEN,DST,1,NYG,3500,,,,,,9.6,2.742857143
Carolina Panthers,CAR,DST,1,CLE,3400,,,,,,6.9,2.029411765
Green Bay Packers,GB,DST,1,MIN,3200,,,,,,6.6,2.0625
Philadelphia Eagles,PHI,DST,1,DET,3100,,,,,,6.4,2.064516129
Kansas City Chiefs,KC,DST,1,ARI,3000,,,,,,7.5,2.5
Arizona Cardinals,ARI,DST,1,KC,2900,,,,,,6.4,2.206896552
Atlanta Falcons,ATL,DST,1,NO,2800,,,,,,6.5,2.321428571
New England Patriots,NE,DST,1,MIA,2700,,,,,,7.2,2.666666667
Miami Dolphins,MIA,DST,1,NE,2600,,,,,,8.2,3.153846154
Washington Commanders,WAS,DST,1,JAX,2500,,,,,,7.9,3.16
Jacksonville Jaguars,JAX,DST,1,WAS,2500,,,,,,6.8,2.72
Pittsburgh Steelers,PIT,DST,1,CIN,2400,,,,,,6.5,2.708333333
Houston Texans,HOU,DST,1,IND,2400,,,,,,5.7,2.375
New York Giants,NYG,DST,1,TEN,2300,,,,,,6.1,2.652173913
New York Jets,NYJ,DST,1,BAL,2300,,,,,,6.7,2.913043478
Chicago Bears,CHI,DST,1,SF,2200,,,,,,7.4,3.363636364
Minnesota Vikings,MIN,DST,1,GB,2200,,,,,,5.7,2.590909091
Las Vegas Raiders,LV,DST,1,LAC,2100,,,,,,5.7,2.714285714
Detroit Lions,DET,DST,1,PHI,2000,,,,,,5.8,2.9
